countyFIPS,county,State,StateName,lon,lat
1001,Autauga County,Alabama,AL,-86.64564861,32.54009148
1003,Baldwin County,Alabama,AL,-87.72627168,30.73831437
1005,Barbour County,Alabama,AL,-85.39732718,31.87402989
1007,Bibb County,Alabama,AL,-87.12526047,32.99902355
1009,Blount County,Alabama,AL,-86.5627114,33.99044001
1011,Bullock County,Alabama,AL,-85.71680363,32.10633554
1013,Butler County,Alabama,AL,-86.68434696,31.75713941
1015,Calhoun County,Alabama,AL,-85.82956111,33.77624501
1017,Chambers County,Alabama,AL,-85.3948531,32.91633065
1019,Cherokee County,Alabama,AL,-85.60421986,34.19147067
1021,Chilton County,Alabama,AL,-86.71562395,32.8516297
1023,Choctaw County,Alabama,AL,-88.25953692,32.02046848
1025,Clarke County,Alabama,AL,-87.82482965,31.673326
1027,Clay County,Alabama,AL,-85.85178714,33.27340969
1029,Cleburne County,Alabama,AL,-85.52610168,33.67621939
1031,Coffee County,Alabama,AL,-85.99444058,31.39847656
1033,Colbert County,Alabama,AL,-87.81097599,34.70276047
1035,Conecuh County,Alabama,AL,-86.99065443,31.43577781
1037,Coosa County,Alabama,AL,-86.24544124,32.94021362
1039,Covington County,Alabama,AL,-86.45655104,31.25973186
1041,Crenshaw County,Alabama,AL,-86.31956157,31.73590915
1043,Cullman County,Alabama,AL,-86.8654481,34.1382457
1045,Dale County,Alabama,AL,-85.61909408,31.43086648
1047,Dallas County,Alabama,AL,-87.09767509,32.3267024
1049,DeKalb County,Alabama,AL,-85.81226395,34.45439485
1051,Elmore County,Alabama,AL,-86.15419329,32.59892985
1053,Escambia County,Alabama,AL,-87.15746525,31.13336493
1055,Etowah County,Alabama,AL,-86.0334282,34.0527293
1057,Fayette County,Alabama,AL,-87.73637609,33.72193461
1059,Franklin County,Alabama,AL,-87.84558379,34.44338254
1061,Geneva County,Alabama,AL,-85.8443776,31.09992203
1063,Greene County,Alabama,AL,-87.94813999,32.86570101
1065,Hale County,Alabama,AL,-87.62219763,32.76490176
1067,Henry County,Alabama,AL,-85.2541057,31.51595712
1069,Houston County,Alabama,AL,-85.31543021,31.15254068
1071,Jackson County,Alabama,AL,-85.99775089,34.77683646
1073,Jefferson County,Alabama,AL,-86.89025434,33.56305784
1075,Lamar County,Alabama,AL,-88.09795652,33.78170368
1077,Lauderdale County,Alabama,AL,-87.65420478,34.90408733
1079,Lawrence County,Alabama,AL,-87.30558826,34.52482237
